日期,HS编码,商品名称,进出口类型,金额美元,数量,单位,国家地区
2024-01,851712,智能手机,出口,12500000000,85000000,台,美国
2024-01,851712,智能手机,出口,8700000000,59000000,台,欧盟
2024-01,851712,智能手机,出口,4200000000,28000000,台,东盟
2024-01,847130,笔记本电脑,出口,9800000000,12000000,台,美国
2024-01,847130,笔记本电脑,出口,6500000000,8000000,台,欧盟
2024-01,851761,无线耳机,出口,3800000000,45000000,副,美国
2024-01,851761,无线耳机,出口,2900000000,34000000,副,欧盟
2024-01,620342,棉制男裤,出口,2200000000,85000000,条,美国
2024-01,620342,棉制男裤,出口,1800000000,70000000,条,欧盟
2024-01,611020,棉制针织衫,出口,1950000000,92000000,件,美国
2024-01,940350,木质家具,出口,3100000000,8500000,件,美国
2024-01,940350,木质家具,出口,2400000000,6500000,件,欧盟
2024-01,950300,玩具,出口,2800000000,125000000,个,美国
2024-01,950300,玩具,出口,2100000000,95000000,个,欧盟
2024-01,392410,塑料餐具,出口,850000000,125000000,套,美国
2024-01,870891,汽车配件,出口,1800000000,42000000,件,美国
2024-01,870891,汽车配件,出口,1450000000,35000000,件,欧盟
2024-01,850440,锂电池,出口,4200000000,280000000,个,欧盟
2024-01,850440,锂电池,出口,3800000000,250000000,个,美国
2024-01,854143,太阳能电池,出口,3100000000,8500000,个,欧盟
2024-01,854143,太阳能电池,出口,2800000000,7800000,个,美国
2024-01,330410,口红化妆品,进口,950000000,42000000,支,法国
2024-01,330410,口红化妆品,进口,780000000,35000000,支,韩国
2024-01,020120,冷冻牛肉,进口,1200000000,85000,吨,巴西
2024-01,020120,冷冻牛肉,进口,950000000,68000,吨,阿根廷
2024-01,100190,小麦,进口,1800000000,3200000,吨,美国
2024-01,100190,小麦,进口,1450000000,2600000,吨,澳大利亚
2024-02,851712,智能手机,出口,9800000000,67000000,台,美国
2024-02,851712,智能手机,出口,7200000000,49000000,台,欧盟
2024-02,851712,智能手机,出口,3500000000,23500000,台,东盟
2024-02,847130,笔记本电脑,出口,8200000000,10000000,台,美国
2024-02,847130,笔记本电脑,出口,5400000000,6700000,台,欧盟
2024-02,851761,无线耳机,出口,3200000000,38000000,副,美国
2024-02,851761,无线耳机,出口,2500000000,29000000,副,欧盟
2024-02,620342,棉制男裤,出口,1850000000,72000000,条,美国
2024-02,611020,棉制针织衫,出口,1680000000,79000000,件,美国
2024-02,940350,木质家具,出口,2650000000,7300000,件,美国
2024-02,940350,木质家具,出口,2050000000,5600000,件,欧盟
2024-02,950300,玩具,出口,2350000000,105000000,个,美国
2024-02,392410,塑料餐具,出口,720000000,106000000,套,美国
2024-02,870891,汽车配件,出口,1550000000,36000000,件,美国
2024-02,850440,锂电池,出口,3650000000,245000000,个,欧盟
2024-02,850440,锂电池,出口,3300000000,220000000,个,美国
2024-02,854143,太阳能电池,出口,2680000000,7400000,个,欧盟
2024-02,330410,口红化妆品,进口,820000000,36000000,支,法国
2024-02,330410,口红化妆品,进口,680000000,30000000,支,韩国
2024-02,020120,冷冻牛肉,进口,1050000000,75000,吨,巴西
2024-02,100190,小麦,进口,1550000000,2750000,吨,美国
2024-02,100190,小麦,进口,1280000000,2300000,吨,澳大利亚
2024-03,851712,智能手机,出口,13200000000,90000000,台,美国
2024-03,851712,智能手机,出口,9200000000,62500000,台,欧盟
2024-03,851712,智能手机,出口,4500000000,30000000,台,东盟
2024-03,847130,笔记本电脑,出口,10500000000,12800000,台,美国
2024-03,847130,笔记本电脑,出口,7100000000,8700000,台,欧盟
2024-03,851761,无线耳机,出口,3950000000,47000000,副,美国
2024-03,851761,无线耳机,出口,3050000000,36000000,副,欧盟
2024-03,620342,棉制男裤,出口,2350000000,91000000,条,美国
2024-03,620342,棉制男裤,出口,1920000000,75000000,条,欧盟
2024-03,611020,棉制针织衫,出口,2080000000,98000000,件,美国
2024-03,940350,木质家具,出口,3250000000,8900000,件,美国
2024-03,940350,木质家具,出口,2550000000,6900000,件,欧盟
2024-03,950300,玩具,出口,2950000000,132000000,个,美国
2024-03,950300,玩具,出口,2200000000,100000000,个,欧盟
2024-03,392410,塑料餐具,出口,880000000,130000000,套,美国
2024-03,870891,汽车配件,出口,1850000000,43000000,件,美国
2024-03,870891,汽车配件,出口,1500000000,36500000,件,欧盟
2024-03,850440,锂电池,出口,4350000000,290000000,个,欧盟
2024-03,850440,锂电池,出口,3950000000,265000000,个,美国
2024-03,854143,太阳能电池,出口,3250000000,8900000,个,欧盟
2024-03,854143,太阳能电池,出口,2950000000,8200000,个,美国
2024-03,330410,口红化妆品,进口,980000000,43500000,支,法国
2024-03,330410,口红化妆品,进口,810000000,36500000,支,韩国
2024-03,020120,冷冻牛肉,进口,1250000000,89000,吨,巴西
2024-03,020120,冷冻牛肉,进口,990000000,71000,吨,阿根廷
2024-03,100190,小麦,进口,1750000000,3100000,吨,美国
2024-03,100190,小麦,进口,1400000000,2500000,吨,澳大利亚
2024-04,851712,智能手机,出口,12800000000,87000000,台,美国
2024-04,851712,智能手机,出口,8900000000,60500000,台,欧盟
2024-04,851712,智能手机,出口,4300000000,28700000,台,东盟
2024-04,847130,笔记本电脑,出口,9950000000,12200000,台,美国
2024-04,847130,笔记本电脑,出口,6800000000,8300000,台,欧盟
2024-04,851761,无线耳机,出口,3700000000,44000000,副,美国
2024-04,851761,无线耳机,出口,2850000000,33500000,副,欧盟
2024-04,620342,棉制男裤,出口,2150000000,83000000,条,美国
2024-04,611020,棉制针织衫,出口,1980000000,93500000,件,美国
2024-04,940350,木质家具,出口,3050000000,8350000,件,美国
2024-04,940350,木质家具,出口,2350000000,6400000,件,欧盟
2024-04,950300,玩具,出口,2750000000,123000000,个,美国
2024-04,392410,塑料餐具,出口,830000000,122000000,套,美国
2024-04,870891,汽车配件,出口,1720000000,40000000,件,美国
2024-04,850440,锂电池,出口,4100000000,275000000,个,欧盟
2024-04,850440,锂电池,出口,3700000000,248000000,个,美国
2024-04,854143,太阳能电池,出口,3050000000,8350000,个,欧盟
2024-04,330410,口红化妆品,进口,910000000,40500000,支,法国
2024-04,020120,冷冻牛肉,进口,1180000000,84000,吨,巴西
2024-04,100190,小麦,进口,1620000000,2900000,吨,美国
2024-04,100190,小麦,进口,1320000000,2370000,吨,澳大利亚
2024-05,851712,智能手机,出口,13500000000,91800000,台,美国
2024-05,851712,智能手机,出口,9350000000,63500000,台,欧盟
2024-05,851712,智能手机,出口,4600000000,30700000,台,东盟
2024-05,847130,笔记本电脑,出口,10200000000,12400000,台,美国
2024-05,847130,笔记本电脑,出口,6950000000,8500000,台,欧盟
2024-05,851761,无线耳机,出口,3850000000,45500000,副,美国
2024-05,851761,无线耳机,出口,2980000000,35000000,副,欧盟
2024-05,620342,棉制男裤,出口,2280000000,88000000,条,美国
2024-05,611020,棉制针织衫,出口,2030000000,96000000,件,美国
2024-05,940350,木质家具,出口,3150000000,8650000,件,美国
2024-05,950300,玩具,出口,2850000000,128000000,个,美国
2024-05,392410,塑料餐具,出口,860000000,127000000,套,美国
2024-05,870891,汽车配件,出口,1780000000,41500000,件,美国
2024-05,850440,锂电池,出口,4250000000,285000000,个,欧盟
2024-05,850440,锂电池,出口,3880000000,258000000,个,美国
2024-05,854143,太阳能电池,出口,3180000000,8700000,个,欧盟
2024-05,854143,太阳能电池,出口,2880000000,8000000,个,美国
2024-05,330410,口红化妆品,进口,935000000,41500000,支,法国
2024-05,330410,口红化妆品,进口,765000000,34500000,支,韩国
2024-05,020120,冷冻牛肉,进口,1220000000,87000,吨,巴西
2024-05,100190,小麦,进口,1700000000,3050000,吨,美国
2024-05,100190,小麦,进口,1380000000,2480000,吨,澳大利亚
2024-06,851712,智能手机,出口,14200000000,96500000,台,美国
2024-06,851712,智能手机,出口,9800000000,66500000,台,欧盟
2024-06,851712,智能手机,出口,4800000000,32000000,台,东盟
2024-06,847130,笔记本电脑,出口,10800000000,13200000,台,美国
2024-06,847130,笔记本电脑,出口,7300000000,9000000,台,欧盟
2024-06,851761,无线耳机,出口,4050000000,48000000,副,美国
2024-06,851761,无线耳机,出口,3150000000,37000000,副,欧盟
2024-06,620342,棉制男裤,出口,2400000000,93000000,条,美国
